feature,mean_abs_shap
LBXGH,1.5440192
RIDAGEYR,0.81907713
LBXGLU,0.53929466
BMXBMI,0.25175467
SEQN,0.11528299
INDFMPIR,0.09563743
race_3.0,0.029218614
race_5.0,0.01884867
race_4.0,0.012733389
RIAGENDR,0.011316815
race_2.0,0.0057044826
