model,accuracy,f1,auc
NHANES – Logistic Regression,0.9284718996748723,0.6130653266331658,0.942795354157795
NHANES – Random Forest,0.9382257315373896,0.7064017660044151,0.9379002696993228
NHANES – XGBoost,0.9349744542498839,0.6943231441048034,0.9394867363042008
NHANES – ANN,0.9340455178820251,0.6697674418604651,0.9407183353790404
